evaluation,scenario,perturbation_kind,perturbation_level,metric,mean,std,n_seeds,mean_std
temporal,length_noise_sigma_2_0cm,length_noise_cm,2.0,precision@10%,0.20661999999999997,0.02426318198423282,5,0.2066 ± 0.0243
temporal,length_missing_plus_10pct,length_missing_fraction,0.1,precision@10%,0.33449999999999996,0.047370085497072945,5,0.3345 ± 0.0474
temporal,length_missing_plus_20pct,length_missing_fraction,0.2,precision@10%,0.29901999999999995,0.05759550329669844,5,0.2990 ± 0.0576
temporal,length_missing_plus_30pct,length_missing_fraction,0.3,precision@10%,0.28028,0.05258590115230506,5,0.2803 ± 0.0526
temporal,current_measurement_missing,current_measurement_missing,1.0,precision@10%,0.21381999999999998,0.08253545904640017,5,0.2138 ± 0.0825
grouped,baseline,none,0.0,precision@20%,0.25,0.06908378970496624,5,0.2500 ± 0.0691
grouped,length_noise_sigma_0_5cm,length_noise_cm,0.5,precision@20%,0.26668000000000003,0.06146476226261678,5,0.2667 ± 0.0615
grouped,length_noise_sigma_1_0cm,length_noise_cm,1.0,precision@20%,0.21666,0.043182438560136926,5,0.2167 ± 0.0432
grouped,length_noise_sigma_2_0cm,length_noise_cm,2.0,precision@20%,0.16668,0.07793338180779787,5,0.1667 ± 0.0779
grouped,length_missing_plus_10pct,length_missing_fraction,0.1,precision@20%,0.2375,0.07004958957766991,5,0.2375 ± 0.0700
grouped,length_missing_plus_20pct,length_missing_fraction,0.2,precision@20%,0.21667999999999998,0.07738163218749007,5,0.2167 ± 0.0774
grouped,length_missing_plus_30pct,length_missing_fraction,0.3,precision@20%,0.24584,0.064901640965387,5,0.2458 ± 0.0649
grouped,current_measurement_missing,current_measurement_missing,1.0,precision@20%,0.1375,0.0760025657461641,5,0.1375 ± 0.0760
temporal,baseline,none,0.0,precision@20%,0.29134000000000004,0.016118405628349222,5,0.2913 ± 0.0161
temporal,length_noise_sigma_0_5cm,length_noise_cm,0.5,precision@20%,0.26976,0.016203178700489606,5,0.2698 ± 0.0162
temporal,length_noise_sigma_1_0cm,length_noise_cm,1.0,precision@20%,0.2273,0.037671939159007996,5,0.2273 ± 0.0377
temporal,length_noise_sigma_2_0cm,length_noise_cm,2.0,precision@20%,0.18796,0.031898479587591635,5,0.1880 ± 0.0319
temporal,length_missing_plus_10pct,length_missing_fraction,0.1,precision@20%,0.28186,0.024070375983768922,5,0.2819 ± 0.0241
temporal,length_missing_plus_20pct,length_missing_fraction,0.2,precision@20%,0.26880000000000004,0.021322171559201,5,0.2688 ± 0.0213
temporal,length_missing_plus_30pct,length_missing_fraction,0.3,precision@20%,0.23974,0.0277624386536918,5,0.2397 ± 0.0278
temporal,current_measurement_missing,current_measurement_missing,1.0,precision@20%,0.20371999999999998,0.04578408020262066,5,0.2037 ± 0.0458
grouped,baseline,none,0.0,lift@5%,3.0620000000000003,1.7194808809637867,5,3.0620 ± 1.7195
grouped,length_noise_sigma_0_5cm,length_noise_cm,0.5,lift@5%,3.8316000000000003,1.8575965116246316,5,3.8316 ± 1.8576
grouped,length_noise_sigma_1_0cm,length_noise_cm,1.0,lift@5%,2.7026,1.2327044657986763,5,2.7026 ± 1.2327
grouped,length_noise_sigma_2_0cm,length_noise_cm,2.0,lift@5%,1.2034,0.8601719595522748,5,1.2034 ± 0.8602
grouped,length_missing_plus_10pct,length_missing_fraction,0.1,lift@5%,3.4497999999999998,1.3179661224781158,5,3.4498 ± 1.3180
grouped,length_missing_plus_20pct,length_missing_fraction,0.2,lift@5%,3.2963999999999998,1.5094596052892573,5,3.2964 ± 1.5095
grouped,length_missing_plus_30pct,length_missing_fraction,0.3,lift@5%,2.6336,1.4761864042186543,5,2.6336 ± 1.4762
grouped,current_measurement_missing,current_measurement_missing,1.0,lift@5%,1.9682000000000002,1.3674305101174247,5,1.9682 ± 1.3674
temporal,baseline,none,0.0,lift@5%,3.2542,0.1420095067240217,5,3.2542 ± 0.1420
temporal,length_noise_sigma_0_5cm,length_noise_cm,0.5,lift@5%,2.7422,0.47235389275415113,5,2.7422 ± 0.4724
temporal,length_noise_sigma_1_0cm,length_noise_cm,1.0,lift@5%,2.2346,0.2807566561989226,5,2.2346 ± 0.2808
temporal,length_noise_sigma_2_0cm,length_noise_cm,2.0,lift@5%,1.9342,0.2355688858911549,5,1.9342 ± 0.2356
temporal,length_missing_plus_10pct,length_missing_fraction,0.1,lift@5%,3.275,0.2934510180592325,5,3.2750 ± 0.2935
temporal,length_missing_plus_20pct,length_missing_fraction,0.2,lift@5%,2.7641999999999998,0.4935075480679095,5,2.7642 ± 0.4935
temporal,length_missing_plus_30pct,length_missing_fraction,0.3,lift@5%,2.6382000000000003,0.7410885237270914,5,2.6382 ± 0.7411
temporal,current_measurement_missing,current_measurement_missing,1.0,lift@5%,1.8039999999999998,0.7451214666079619,5,1.8040 ± 0.7451
grouped,baseline,none,0.0,lift@10%,2.5872,1.0339534322202328,5,2.5872 ± 1.0340
grouped,length_noise_sigma_0_5cm,length_noise_cm,0.5,lift@10%,2.8600000000000003,1.187564103532942,5,2.8600 ± 1.1876
grouped,length_noise_sigma_1_0cm,length_noise_cm,1.0,lift@10%,2.4387999999999996,0.3202088381041348,5,2.4388 ± 0.3202
grouped,length_noise_sigma_2_0cm,length_noise_cm,2.0,lift@10%,1.7,0.25603710668573015,5,1.7000 ± 0.2560
grouped,length_missing_plus_10pct,length_missing_fraction,0.1,lift@10%,2.6298000000000004,0.6829327931795339,5,2.6298 ± 0.6829
grouped,length_missing_plus_20pct,length_missing_fraction,0.2,lift@10%,2.5098,0.9297511495018438,5,2.5098 ± 0.9298
grouped,length_missing_plus_30pct,length_missing_fraction,0.3,lift@10%,2.2148,1.0165361282315548,5,2.2148 ± 1.0165
grouped,current_measurement_missing,current_measurement_missing,1.0,lift@10%,1.3692,0.8516646640550494,5,1.3692 ± 0.8517
temporal,baseline,none,0.0,lift@10%,2.5745999999999998,0.5180654398818745,5,2.5746 ± 0.5181
temporal,length_noise_sigma_0_5cm,length_noise_cm,0.5,lift@10%,2.2758,0.318247859380075,5,2.2758 ± 0.3182
temporal,length_noise_sigma_1_0cm,length_noise_cm,1.0,lift@10%,1.9384000000000001,0.31368184518712583,5,1.9384 ± 0.3137
temporal,length_noise_sigma_2_0cm,length_noise_cm,2.0,lift@10%,1.542,0.15604486534327236,5,1.5420 ± 0.1560
