n_children,n_positive,prevalence,k_fraction,k_count,n_unique_scores,unique_score_ratio,cutoff_score,n_score_above_cutoff,n_score_equal_cutoff,slots_taken_from_tie,positive_above_cutoff,positive_in_tie_group,observed_tp,observed_recall_at_k,observed_precision_at_k,observed_lift_at_k,min_tp,max_tp,min_recall_at_k,max_recall_at_k,min_precision_at_k,max_precision_at_k,min_lift_at_k,max_lift_at_k,generator_seed,evaluation,model,model_fingerprint_sha256,recall_range_width,precision_range_width,lift_range_width
240,28,0.11666666666666667,0.05,12,167,0.6958333333333333,0.25906932174337716,11,1,1,2,1,3,0.10714285714285714,0.25,2.142857142857143,3,3,0.10714285714285714,0.10714285714285714,0.25,0.25,2.142857142857143,2.142857142857143,1618,grouped,M2_plus_trajectory,4187d73c2b361ba074774f55cd055e501cc8be2c55f489ad905812fb8390523b,0.0,0.0,0.0
240,28,0.11666666666666667,0.1,24,167,0.6958333333333333,0.2373426188932945,23,1,1,8,0,8,0.2857142857142857,0.3333333333333333,2.8571428571428568,8,8,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.3333333333333333,2.8571428571428568,2.8571428571428568,1618,grouped,M2_plus_trajectory,4187d73c2b361ba074774f55cd055e501cc8be2c55f489ad905812fb8390523b,0.0,0.0,0.0
240,28,0.11666666666666667,0.2,48,167,0.6958333333333333,0.21266271725249766,47,1,1,13,0,13,0.4642857142857143,0.2708333333333333,2.321428571428571,13,13,0.4642857142857143,0.4642857142857143,0.2708333333333333,0.2708333333333333,2.321428571428571,2.321428571428571,1618,grouped,M2_plus_trajectory,4187d73c2b361ba074774f55cd055e501cc8be2c55f489ad905812fb8390523b,0.0,0.0,0.0
1069,143,0.13376987839101964,0.05,53,798,0.7464920486435921,0.3187037278064237,52,2,1,22,0,22,0.15384615384615385,0.41509433962264153,3.1030478955007257,22,22,0.15384615384615385,0.15384615384615385,0.41509433962264153,0.41509433962264153,3.1030478955007257,3.1030478955007257,1618,temporal,M2_plus_trajectory,e9c49e26a77da9dc1a31d5ad38ea5845967b0f29e1e040b48055b7ba98c73ff6,0.0,0.0,0.0
1069,143,0.13376987839101964,0.1,107,798,0.7464920486435921,0.30642733531373567,91,16,16,25,1,26,0.18181818181818182,0.24299065420560748,1.8164825828377231,26,26,0.18181818181818182,0.18181818181818182,0.24299065420560748,0.24299065420560748,1.8164825828377231,1.8164825828377231,1618,temporal,M2_plus_trajectory,e9c49e26a77da9dc1a31d5ad38ea5845967b0f29e1e040b48055b7ba98c73ff6,0.0,0.0,0.0
1069,143,0.13376987839101964,0.2,214,798,0.7464920486435921,0.2685593892853837,213,1,1,58,0,58,0.40559440559440557,0.27102803738317754,2.0260767270113065,58,58,0.40559440559440557,0.40559440559440557,0.27102803738317754,0.27102803738317754,2.0260767270113065,2.0260767270113065,1618,temporal,M2_plus_trajectory,e9c49e26a77da9dc1a31d5ad38ea5845967b0f29e1e040b48055b7ba98c73ff6,0.0,0.0,0.0
240,18,0.075,0.05,12,109,0.45416666666666666,0.2550495993381959,11,1,1,3,0,3,0.16666666666666666,0.25,3.3333333333333335,3,3,0.16666666666666666,0.16666666666666666,0.25,0.25,3.3333333333333335,3.3333333333333335,2026,grouped,M2_plus_trajectory,af6eaf088f3bd786f28fc6d4751fa3c63155bdde1405b376c80e6c5089d177fc,0.0,0.0,0.0
240,18,0.075,0.1,24,109,0.45416666666666666,0.23579856142028535,23,7,1,3,0,3,0.16666666666666666,0.125,1.6666666666666667,3,3,0.16666666666666666,0.16666666666666666,0.125,0.125,1.6666666666666667,1.6666666666666667,2026,grouped,M2_plus_trajectory,af6eaf088f3bd786f28fc6d4751fa3c63155bdde1405b376c80e6c5089d177fc,0.0,0.0,0.0
240,18,0.075,0.2,48,109,0.45416666666666666,0.221779522769232,47,1,1,7,1,8,0.4444444444444444,0.16666666666666666,2.2222222222222223,8,8,0.4444444444444444,0.4444444444444444,0.16666666666666666,0.16666666666666666,2.2222222222222223,2.2222222222222223,2026,grouped,M2_plus_trajectory,af6eaf088f3bd786f28fc6d4751fa3c63155bdde1405b376c80e6c5089d177fc,0.0,0.0,0.0
1052,140,0.13307984790874525,0.05,53,20,0.019011406844106463,0.19229157247132098,40,47,13,19,9,22,0.15714285714285714,0.41509433962264153,3.119137466307278,19,28,0.1357142857142857,0.2,0.3584905660377358,0.5283018867924528,2.6938005390835578,3.969811320754717,2026,temporal,M2_plus_trajectory,a7d074a352d8a1d7a86b40ebb4b0d2fbfa2d30cbbf8ad7cb4d15cae443e4bc68,0.06428571428571431,0.169811320754717,1.2760107816711592
1052,140,0.13307984790874525,0.1,105,20,0.019011406844106463,0.19190133162894346,87,54,18,28,19,33,0.2357142857142857,0.3142857142857143,2.3616326530612244,28,46,0.2,0.32857142857142857,0.26666666666666666,0.4380952380952381,2.0038095238095237,3.291972789115646,2026,temporal,M2_plus_trajectory,a7d074a352d8a1d7a86b40ebb4b0d2fbfa2d30cbbf8ad7cb4d15cae443e4bc68,0.12857142857142856,0.17142857142857143,1.2881632653061224
1052,140,0.13307984790874525,0.2,210,20,0.019011406844106463,0.18221836022506796,172,65,38,51,10,59,0.42142857142857143,0.28095238095238095,2.111156462585034,51,61,0.36428571428571427,0.4357142857142857,0.24285714285714285,0.2904761904761905,1.8248979591836734,2.1827210884353745,2026,temporal,M2_plus_trajectory,a7d074a352d8a1d7a86b40ebb4b0d2fbfa2d30cbbf8ad7cb4d15cae443e4bc68,0.07142857142857145,0.047619047619047644,0.3578231292517011
240,27,0.1125,0.05,12,21,0.0875,0.18256136050582428,9,3,3,7,1,8,0.2962962962962963,0.6666666666666666,5.925925925925926,8,8,0.2962962962962963,0.2962962962962963,0.6666666666666666,0.6666666666666666,5.925925925925926,5.925925925925926,2718,grouped,M2_plus_trajectory,bd60065e37a74ef6b196c8c15fb0f6113a4792e761a4f0a1c2f00b8a0240f91b,0.0,0.0,0.0
240,27,0.1125,0.1,24,21,0.0875,0.1756703716816857,20,4,4,9,2,11,0.4074074074074074,0.4583333333333333,4.0740740740740735,11,11,0.4074074074074074,0.4074074074074074,0.4583333333333333,0.4583333333333333,4.0740740740740735,4.0740740740740735,2718,grouped,M2_plus_trajectory,bd60065e37a74ef6b196c8c15fb0f6113a4792e761a4f0a1c2f00b8a0240f91b,0.0,0.0,0.0
240,27,0.1125,0.2,48,21,0.0875,0.1659844489708853,47,1,1,14,1,15,0.5555555555555556,0.3125,2.7777777777777777,15,15,0.5555555555555556,0.5555555555555556,0.3125,0.3125,2.7777777777777777,2.7777777777777777,2718,grouped,M2_plus_trajectory,bd60065e37a74ef6b196c8c15fb0f6113a4792e761a4f0a1c2f00b8a0240f91b,0.0,0.0,0.0
1076,156,0.1449814126394052,0.05,54,186,0.17286245353159851,0.23118951948882496,52,4,2,25,1,26,0.16666666666666666,0.48148148148148145,3.3209876543209877,25,26,0.16025641025641027,0.16666666666666666,0.46296296296296297,0.48148148148148145,3.1932573599240266,3.3209876543209877,2718,temporal,M2_plus_trajectory,5fe5fc598a8f48efbadf83c1a5fa6d4b9f47abd1d804ed4a6a376e5b32ee1bb7,0.0064102564102563875,0.01851851851851849,0.12773029439696115
1076,156,0.1449814126394052,0.1,108,186,0.17286245353159851,0.21346827421273806,105,4,3,40,2,41,0.26282051282051283,0.37962962962962965,2.618471035137702,41,42,0.26282051282051283,0.2692307692307692,0.37962962962962965,0.3888888888888889,2.618471035137702,2.6823361823361824,2718,temporal,M2_plus_trajectory,5fe5fc598a8f48efbadf83c1a5fa6d4b9f47abd1d804ed4a6a376e5b32ee1bb7,0.0064102564102563875,0.009259259259259245,0.06386514719848035
1076,156,0.1449814126394052,0.2,215,186,0.17286245353159851,0.2011436504796316,185,50,30,57,14,65,0.4166666666666667,0.3023255813953488,2.0852713178294575,57,71,0.36538461538461536,0.4551282051282051,0.2651162790697674,0.3302325581395349,1.8286225402504472,2.277757901013715,2718,temporal,M2_plus_trajectory,5fe5fc598a8f48efbadf83c1a5fa6d4b9f47abd1d804ed4a6a376e5b32ee1bb7,0.08974358974358976,0.06511627906976747,0.44913536076326777
